pokedex_id,name,genus,generation,type_1,type_2,num_types,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,ability_1,ability_2,hidden_ability,color,shape,habitat,growth_rate,egg_groups,is_legendary,is_mythical,is_baby,capture_rate,base_happiness,hatch_counter,gender_rate,description,sprite_url,is_dual_type,bmi,attack_defense_ratio,physical_total,special_total,offensive_total,defensive_total,gender_distribution,stat_tier
11,metapod,Cocoon Pokémon,I,bug,,1,50,20,55,25,25,30,205,0.7,9.9,72,shed-skin,,,green,squiggle,forest,medium,bug,False,False,False,120,70,15,4,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,False,20.2,0.36,75,50,75,130,50% Male / 50% Female,Weak (<300)
12,butterfree,Butterfly Pokémon,I,bug,flying,2,60,45,50,90,80,70,395,1.1,32.0,178,compound-eyes,,tinted-lens,white,bug-wings,forest,medium,bug,False,False,False,45,70,15,4,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,True,26.4,0.9,95,170,205,190,50% Male / 50% Female,Below Average (300-399)
13,weedle,Hairy Bug Pokémon,I,bug,poison,2,40,35,30,20,20,50,195,0.3,3.2,39,shield-dust,,run-away,brown,armor,forest,medium,bug,False,False,False,255,70,15,4,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,True,35.6,1.17,65,40,105,90,50% Male / 50% Female,Weak (<300)
14,kakuna,Cocoon Pokémon,I,bug,poison,2,45,25,50,25,25,35,205,0.6,10.0,72,shed-skin,,,yellow,squiggle,forest,medium,bug,False,False,False,120,70,15,4,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,True,27.8,0.5,75,50,85,120,50% Male / 50% Female,Weak (<300)
15,beedrill,Poison Bee Pokémon,I,bug,poison,2,65,90,40,45,80,75,395,1.0,29.5,178,swarm,,sniper,yellow,bug-wings,forest,medium,bug,False,False,False,45,70,15,4,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,True,29.5,2.25,130,125,210,185,50% Male / 50% Female,Below Average (300-399)
16,pidgey,Tiny Bird Pokémon,I,normal,flying,2,40,45,40,35,35,56,251,0.3,1.8,50,keen-eye,tangled-feet,big-pecks,brown,wings,forest,medium-slow,flying,False,False,False,255,70,15,4,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,True,20.0,1.12,85,70,136,115,50% Male / 50% Female,Weak (<300)
17,pidgeotto,Bird Pokémon,I,normal,flying,2,63,60,55,50,50,71,349,1.1,30.0,122,keen-eye,tangled-feet,big-pecks,brown,wings,forest,medium-slow,flying,False,False,False,120,70,15,4,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,True,24.8,1.09,115,100,181,168,50% Male / 50% Female,Below Average (300-399)
18,pidgeot,Bird Pokémon,I,normal,flying,2,83,80,75,70,70,101,479,1.5,39.5,216,keen-eye,tangled-feet,big-pecks,brown,wings,forest,medium-slow,flying,False,False,False,45,70,15,4,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,True,17.6,1.07,155,140,251,228,50% Male / 50% Female,Average (400-499)
19,rattata,Mouse Pokémon,I,normal,,1,30,56,35,25,35,72,253,0.3,3.5,51,run-away,guts,hustle,purple,quadruped,grassland,medium,ground,False,False,False,255,70,15,4,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,False,38.9,1.6,91,60,153,100,50% Male / 50% Female,Weak (<300)
20,raticate,Mouse Pokémon,I,normal,,1,55,81,60,50,70,97,413,0.7,18.5,145,run-away,guts,hustle,brown,quadruped,grassland,medium,ground,False,False,False,127,70,15,4,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,False,37.8,1.35,141,120,228,185,50% Male / 50% Female,Average (400-499)
21,spearow,Tiny Bird Pokémon,I,normal,flying,2,40,60,30,31,31,70,262,0.3,2.0,52,keen-eye,,sniper,brown,wings,rough-terrain,medium,flying,False,False,False,255,70,15,4,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,True,22.2,2.0,90,62,161,101,50% Male / 50% Female,Weak (<300)
22,fearow,Beak Pokémon,I,normal,flying,2,65,90,65,61,61,100,442,1.2,38.0,155,keen-eye,,sniper,brown,wings,rough-terrain,medium,flying,False,False,False,90,70,15,4,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,True,26.4,1.38,155,122,251,191,50% Male / 50% Female,Average (400-499)
23,ekans,Snake Pokémon,I,poison,,1,35,60,44,40,54,55,288,2.0,6.9,58,intimidate,shed-skin,unnerve,purple,squiggle,grassland,medium,"ground, dragon",False,False,False,255,70,20,4,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,False,1.7,1.36,104,94,155,133,50% Male / 50% Female,Weak (<300)
24,arbok,Cobra Pokémon,I,poison,,1,60,95,69,65,79,80,448,3.5,65.0,157,intimidate,shed-skin,unnerve,purple,squiggle,grassland,medium,"ground, dragon",False,False,False,90,70,20,4,It is rumored that the ferocious warning markings on its belly differ from area to area.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,False,5.3,1.38,164,144,240,208,50% Male / 50% Female,Average (400-499)
25,pikachu,Mouse Pokémon,I,electric,,1,35,55,40,50,50,90,320,0.4,6.0,112,static,,lightning-rod,yellow,quadruped,forest,medium,"ground, fairy",False,False,False,190,70,10,4,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,False,37.5,1.38,95,100,195,125,50% Male / 50% Female,Below Average (300-399)
26,raichu,Mouse Pokémon,I,electric,,1,60,90,55,90,80,110,485,0.8,30.0,218,static,,lightning-rod,yellow,upright,forest,medium,"ground, fairy",False,False,False,75,70,10,4,Its long tail serves as a ground to protect itself from its own high-voltage power.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,False,46.9,1.64,145,170,290,195,50% Male / 50% Female,Average (400-499)
27,sandshrew,Mouse Pokémon,I,ground,,1,50,75,85,20,30,40,300,0.6,12.0,60,sand-veil,,sand-rush,yellow,upright,rough-terrain,medium,ground,False,False,False,255,70,20,4,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,False,33.3,0.88,160,50,135,165,50% Male / 50% Female,Below Average (300-399)
28,sandslash,Mouse Pokémon,I,ground,,1,75,100,110,45,55,65,450,1.0,29.5,158,sand-veil,,sand-rush,yellow,upright,rough-terrain,medium,ground,False,False,False,90,70,20,4,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,False,29.5,0.91,210,100,210,240,50% Male / 50% Female,Average (400-499)
29,nidoran-f,Poison Pin Pokémon,I,poison,,1,55,47,52,40,40,41,275,0.4,7.0,55,poison-point,rivalry,hustle,blue,quadruped,grassland,medium-slow,"monster, ground",False,False,False,235,70,20,8,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,False,43.7,0.9,99,80,128,147,Always Female,Weak (<300)
30,nidorina,Poison Pin Pokémon,I,poison,,1,70,62,67,55,55,56,365,0.8,20.0,128,poison-point,rivalry,hustle,blue,quadruped,grassland,medium-slow,no-eggs,False,False,False,120,70,20,8,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,False,31.2,0.93,129,110,173,192,Always Female,Below Average (300-399)
31,nidoqueen,Drill Pokémon,I,poison,ground,2,90,92,87,75,85,76,505,1.3,60.0,227,poison-point,rivalry,sheer-force,blue,upright,grassland,medium-slow,no-eggs,False,False,False,45,70,20,8,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,True,35.5,1.06,179,160,243,262,Always Female,Strong (500-599)
32,nidoran-m,Poison Pin Pokémon,I,poison,,1,46,57,40,40,40,50,273,0.5,9.0,55,poison-point,rivalry,hustle,purple,quadruped,grassland,medium-slow,"monster, ground",False,False,False,235,70,20,0,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,False,36.0,1.42,97,80,147,126,Always Male,Weak (<300)
33,nidorino,Poison Pin Pokémon,I,poison,,1,61,72,57,55,55,65,365,0.9,19.5,128,poison-point,rivalry,hustle,purple,quadruped,grassland,medium-slow,"monster, ground",False,False,False,120,70,20,0,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,False,24.1,1.26,129,110,192,173,Always Male,Below Average (300-399)
34,nidoking,Drill Pokémon,I,poison,ground,2,81,102,77,85,75,85,505,1.4,62.0,227,poison-point,rivalry,sheer-force,purple,upright,grassland,medium-slow,"monster, ground",False,False,False,45,70,20,0,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,True,31.6,1.32,179,160,272,233,Always Male,Strong (500-599)
35,clefairy,Fairy Pokémon,I,fairy,,1,70,45,48,60,65,35,323,0.6,7.5,113,cute-charm,magic-guard,friend-guard,pink,upright,mountain,fast,fairy,False,False,False,150,140,10,6,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,False,20.8,0.94,93,125,140,183,25% Male / 75% Female,Below Average (300-399)
36,clefable,Fairy Pokémon,I,fairy,,1,95,70,73,95,90,60,483,1.3,40.0,217,cute-charm,magic-guard,unaware,pink,upright,mountain,fast,fairy,False,False,False,25,140,10,6,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,False,23.7,0.96,143,185,225,258,25% Male / 75% Female,Average (400-499)
37,vulpix,Fox Pokémon,I,fire,,1,38,41,40,50,65,65,299,0.6,9.9,60,flash-fire,,drought,brown,quadruped,grassland,medium,ground,False,False,False,190,70,20,6,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,False,27.5,1.02,81,115,156,143,25% Male / 75% Female,Weak (<300)
38,ninetales,Fox Pokémon,I,fire,,1,73,76,75,81,100,100,505,1.1,19.9,177,flash-fire,,drought,yellow,quadruped,grassland,medium,ground,False,False,False,75,70,20,6,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,False,16.4,1.01,151,181,257,248,25% Male / 75% Female,Strong (500-599)
39,jigglypuff,Balloon Pokémon,I,normal,fairy,2,115,45,20,45,25,20,270,0.5,5.5,95,cute-charm,competitive,friend-guard,pink,humanoid,grassland,fast,fairy,False,False,False,170,70,10,6,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,True,22.0,2.25,65,70,110,160,25% Male / 75% Female,Weak (<300)
40,wigglytuff,Balloon Pokémon,I,normal,fairy,2,140,70,45,85,50,45,435,1.0,12.0,196,cute-charm,competitive,frisk,pink,humanoid,grassland,fast,fairy,False,False,False,50,70,10,6,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,True,12.0,1.56,115,135,200,235,25% Male / 75% Female,Average (400-499)
41,zubat,Bat Pokémon,I,poison,flying,2,40,45,35,30,40,55,245,0.8,7.5,49,inner-focus,,infiltrator,purple,wings,cave,medium,flying,False,False,False,255,70,15,4,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,True,11.7,1.29,80,70,130,115,50% Male / 50% Female,Weak (<300)
42,golbat,Bat Pokémon,I,poison,flying,2,75,80,70,65,75,90,455,1.6,55.0,159,inner-focus,,infiltrator,purple,wings,cave,medium,flying,False,False,False,90,70,15,4,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,True,21.5,1.14,150,140,235,220,50% Male / 50% Female,Average (400-499)
43,oddish,Weed Pokémon,I,grass,poison,2,45,50,55,75,65,30,320,0.5,5.4,64,chlorophyll,,run-away,blue,legs,grassland,medium-slow,plant,False,False,False,255,70,20,4,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,True,21.6,0.91,105,140,155,165,50% Male / 50% Female,Below Average (300-399)
44,gloom,Weed Pokémon,I,grass,poison,2,60,65,70,85,75,40,395,0.8,8.6,138,chlorophyll,,stench,blue,humanoid,grassland,medium-slow,plant,False,False,False,120,70,20,4,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,True,13.4,0.93,135,160,190,205,50% Male / 50% Female,Below Average (300-399)
45,vileplume,Flower Pokémon,I,grass,poison,2,75,80,85,110,90,50,490,1.2,18.6,221,chlorophyll,,effect-spore,red,humanoid,grassland,medium-slow,plant,False,False,False,45,70,20,4,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,True,12.9,0.94,165,200,240,250,50% Male / 50% Female,Average (400-499)
46,paras,Mushroom Pokémon,I,bug,grass,2,35,70,55,45,55,25,285,0.3,5.4,57,effect-spore,dry-skin,damp,red,armor,forest,medium,"bug, plant",False,False,False,190,70,20,4,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,True,60.0,1.27,125,100,140,145,50% Male / 50% Female,Weak (<300)
47,parasect,Mushroom Pokémon,I,bug,grass,2,60,95,80,60,80,30,405,1.0,29.5,142,effect-spore,dry-skin,damp,red,armor,forest,medium,"bug, plant",False,False,False,75,70,20,4,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,True,29.5,1.19,175,140,185,220,50% Male / 50% Female,Average (400-499)
48,venonat,Insect Pokémon,I,bug,poison,2,60,55,50,40,55,45,305,1.0,30.0,61,compound-eyes,tinted-lens,run-away,purple,humanoid,forest,medium,bug,False,False,False,190,70,20,4,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,True,30.0,1.1,105,95,140,165,50% Male / 50% Female,Below Average (300-399)
49,venomoth,Poison Moth Pokémon,I,bug,poison,2,70,65,60,90,75,90,450,1.5,12.5,158,shield-dust,tinted-lens,wonder-skin,purple,bug-wings,forest,medium,bug,False,False,False,75,70,20,4,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,True,5.6,1.08,125,165,245,205,50% Male / 50% Female,Average (400-499)
50,diglett,Mole Pokémon,I,ground,,1,10,55,25,35,45,95,265,0.2,0.8,53,sand-veil,arena-trap,sand-force,brown,blob,cave,medium,ground,False,False,False,255,70,20,4,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,False,20.0,2.2,80,80,185,80,50% Male / 50% Female,Weak (<300)
51,dugtrio,Mole Pokémon,I,ground,,1,35,100,50,50,70,120,425,0.7,33.3,149,sand-veil,arena-trap,sand-force,brown,heads,cave,medium,ground,False,False,False,50,70,20,4,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,False,68.0,2.0,150,120,270,155,50% Male / 50% Female,Average (400-499)
52,meowth,Scratch Cat Pokémon,I,normal,,1,40,45,35,40,40,90,290,0.4,4.2,58,pickup,technician,unnerve,yellow,quadruped,urban,medium,ground,False,False,False,255,70,20,4,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,False,26.2,1.29,80,80,175,115,50% Male / 50% Female,Weak (<300)
53,persian,Classy Cat Pokémon,I,normal,,1,65,70,60,65,65,115,440,1.0,32.0,154,limber,technician,unnerve,yellow,quadruped,urban,medium,ground,False,False,False,90,70,20,4,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,False,32.0,1.17,130,130,250,190,50% Male / 50% Female,Average (400-499)
54,psyduck,Duck Pokémon,I,water,,1,50,52,48,65,50,55,320,0.8,19.6,64,damp,cloud-nine,swift-swim,yellow,upright,waters-edge,medium,"water1, ground",False,False,False,190,70,20,4,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,False,30.6,1.08,100,115,172,148,50% Male / 50% Female,Below Average (300-399)
55,golduck,Duck Pokémon,I,water,,1,80,82,78,95,80,85,500,1.7,76.6,175,damp,cloud-nine,swift-swim,blue,upright,waters-edge,medium,"water1, ground",False,False,False,75,70,20,4,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,False,26.5,1.05,160,175,262,238,50% Male / 50% Female,Strong (500-599)
56,mankey,Pig Monkey Pokémon,I,fighting,,1,40,80,35,35,45,70,305,0.5,28.0,61,vital-spirit,anger-point,defiant,brown,upright,mountain,medium,ground,False,False,False,190,70,20,4,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,False,112.0,2.29,115,80,185,120,50% Male / 50% Female,Below Average (300-399)
57,primeape,Pig Monkey Pokémon,I,fighting,,1,65,105,60,60,70,95,455,1.0,32.0,159,vital-spirit,anger-point,defiant,brown,upright,mountain,medium,ground,False,False,False,75,70,20,4,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,False,32.0,1.75,165,130,260,195,50% Male / 50% Female,Average (400-499)
58,growlithe,Puppy Pokémon,I,fire,,1,55,70,45,70,50,60,350,0.7,19.0,70,intimidate,flash-fire,justified,brown,quadruped,grassland,slow,ground,False,False,False,190,70,20,2,Very protective of its territory. It will bark and bite to repel intruders from its space.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,False,38.8,1.56,115,120,200,150,75% Male / 25% Female,Below Average (300-399)
59,arcanine,Legendary Pokémon,I,fire,,1,90,110,80,100,80,95,555,1.9,155.0,194,intimidate,flash-fire,justified,brown,quadruped,grassland,slow,ground,False,False,False,75,70,20,2,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,False,42.9,1.38,190,180,305,250,75% Male / 25% Female,Strong (500-599)
60,poliwag,Tadpole Pokémon,I,water,,1,40,50,40,40,40,90,300,0.6,12.4,60,water-absorb,damp,swift-swim,blue,legs,waters-edge,medium-slow,water1,False,False,False,255,70,20,4,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,False,34.4,1.25,90,80,180,120,50% Male / 50% Female,Below Average (300-399)
61,poliwhirl,Tadpole Pokémon,I,water,,1,65,65,65,50,50,90,385,1.0,20.0,135,water-absorb,damp,swift-swim,blue,humanoid,waters-edge,medium-slow,water1,False,False,False,120,70,20,4,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,False,20.0,1.0,130,100,205,180,50% Male / 50% Female,Below Average (300-399)
62,poliwrath,Tadpole Pokémon,I,water,fighting,2,90,95,95,70,90,70,510,1.3,54.0,230,water-absorb,damp,swift-swim,blue,humanoid,waters-edge,medium-slow,water1,False,False,False,45,70,20,4,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,True,32.0,1.0,190,160,235,275,50% Male / 50% Female,Strong (500-599)
63,abra,Psi Pokémon,I,psychic,,1,25,20,15,105,55,90,310,0.9,19.5,62,synchronize,inner-focus,magic-guard,brown,upright,urban,medium-slow,humanshape,False,False,False,200,70,20,2,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,False,24.1,1.33,35,160,215,95,75% Male / 25% Female,Below Average (300-399)
64,kadabra,Psi Pokémon,I,psychic,,1,40,35,30,120,70,105,400,1.3,56.5,140,synchronize,inner-focus,magic-guard,brown,upright,urban,medium-slow,humanshape,False,False,False,100,70,20,2,It emits special alpha waves from its body that induce headaches just by being close by.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,False,33.4,1.17,65,190,260,140,75% Male / 25% Female,Average (400-499)
65,alakazam,Psi Pokémon,I,psychic,,1,55,50,45,135,95,120,500,1.5,48.0,225,synchronize,inner-focus,magic-guard,brown,humanoid,urban,medium-slow,humanshape,False,False,False,50,70,20,2,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,False,21.3,1.11,95,230,305,195,75% Male / 25% Female,Strong (500-599)
